,text,tag,paragraph,article,num_words,num_sentences
1611,"The idea behind ERP therapy is that exposure to these thoughts and the discomfort is the most effective way to treat OCD. When you continually submit to the urge to do the compulsions, it only strengthens your need to engage them. On the other hand, when you prevent yourself from engaging in your compulsions, you teach yourself a new way to respond and will very likely experience a noticeable reduction in your anxiety as you provide yourself with opportunities to change your learning and practice living with uncertainty.",p,Relationship OCD ERP Therapy ,/blog/relationship-ocd,88,4
1612,Example of Relationship OCD Exposures ,h2,Example of Relationship OCD Exposures ,/blog/relationship-ocd,5,1
1613,"Even though it is challenging, many people find ERP therapy very rewarding once they begin to experience results and their OCD symptoms are alleviated. Here are examples of potential exposures for R-OCD. Let’s say you’ve identified with your therapist that every time your partner makes a joke you don’t find funny, suddenly you’re questioning their sense of humor and whether you’re really meant to be together. In these moments of doubt, the only thing that helps is calling a friend for reassurance.",,Example of Relationship OCD Exposures ,/blog/relationship-ocd,82,5
1614,"ERP therapy will help to identify this cycle so you know how to handle the situation when it comes up. So the next time your partner makes an unfunny joke and your obsessive doubts kick in, instead of reaching for the phone to call your friend, you’ll sit with the anxiety that comes from thinking you may be with the wrong partner. This may be overwhelming at first, so you’ll work with your therapist to come up with specific goals tailored to what makes sense for you. Maybe the first few times you’ll wait 10 minutes before calling your friend. The next time you’ll wait an hour, and then maybe an hour and a half, until eventually, you will get to a point where the anxiety subsides as you learn to tolerate uncertainty and  you no longer need to call them at all ",,Example of Relationship OCD Exposures ,/blog/relationship-ocd,143,5
1615,How to Get Help For ROCD,h2,How to Get Help For ROCD,/blog/relationship-ocd,6,1
1616,"R-OCD can be difficult to diagnosisbecause many of the behaviors can sound like normal components of any relationship. However, a mental health professional who specializes in OCD will be able to make an accurate diagnosis. If you’re interested in learning about R-OCD and how it’s treated with ERP, you can schedule a free call with the NOCD clinical team to find out how this type of treatment can help you. All of our therapists specialize in OCD and receive ERP-specific training and ongoing guidance from our clinical leadership team. Many of them have dealt with OCD themselves and understand how crucial ERP therapy is. NOCD offers live face-to-face video therapy sessions with OCD therapists, in addition to ongoing support on the NOCD telehealth app, so that you’re fully supported during the course of your treatment. You can also join our ROCD community and get 24/7 access to personalized self-management tools built by people who have been through OCD and successfully recovered.",p,How to Get Help For ROCD,/blog/relationship-ocd,161,8
1617,Learn More About Relationship OCD,h2,Learn More About Relationship OCD,/blog/relationship-ocd,5,1
1618,"If you’re interested in learning more about ROCD, here is some further reading:",p,Learn More About Relationship OCD,/blog/relationship-ocd,13,1
1619,"Why Virtual Therapy Can Be As Effective As, Or Even More Effective Than, In-person Treatment For OCD",h1,title,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,17,1
1620,"About two years ago, before COVID, there was some doubt about the clinical efficacy of virtual therapy services. While there were studies that showed that virtual therapy was a viable treatment option, and that results in virtual therapy were equivalent to results for in-person treatment, there were also concerns about the actual translation of treatment to virtual settings (i.e., how do we actually do it?).",p,,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,65,5
1621,"My first experience with teletherapy was when I was in my postdoctoral fellowship. I was in St. Louis and there was a clinic in rural Missouri that had no access to psychiatrists. To provide that access, a special phone line was installed (I believe they called it a T1 line) to link to the psychiatrists in St. Louis and there was a very expensive setup with large cameras and bulky televisions. An entire room was needed for this experience and the equipment was not mobile.",p,,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,85,7
1622,"While an experience like this was available in some clinics for a very large investment, until the last two years, almost no therapist training program focused on virtual treatment, and I would estimate that over 95% of therapists received only in-person session training. Due to this, most therapists also assumed that in-person treatment was the only way to actually do therapy. ",p,,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,61,3
1623,"Now that virtual therapy is more readily available, it’s becoming clear that it’s not only helping make much-needed treatment more accessible, but also that it’s just as effective – and in my experience, sometimes more effective – than in-person treatment. This is certainly true for people struggling with Obsessive-Compulsive Disorder (OCD).",p,,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,51,3
1624,"While general talk therapy can be helpful for many different problems, it can be harmful for people with OCD, where specialized care is needed. Unfortunately, specialized care for individuals with OCD has almost always been accessible to people only in big cities, which left out a lot of the people in need of this treatment—that is, until virtual therapy began to become widely available. ",p,,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,64,3
1625,"With more people able to receive treatment, many clinicians are realizing the biggest benefit of virtual therapy for OCD is that it allows people to get care in the places that trigger them the most. Sessions done online allow a therapist to work with their members in the settings and situations where their triggers are most likely present—and where obsessions or compulsions are most likely to occur—which means that they can receive treatment that is more tailored to their needs. ",p,,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,80,3
1626,How is OCD treated virtually? ,h2,How is OCD treated virtually? ,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,5,1
1627,"OCD is the occurrence of obsessions—thoughts, images, or urges that one may find to be disgusting, unacceptable, shameful, guilt-ridden, or anxiety-provoking. To neutralize these obsessions, people with OCD will do compulsions—physical or mental acts—as an attempt to rid their minds of the thoughts, images, or urges. Compulsions work for a slight period of time, and then the obsessions creep back in, and the process starts all over again. ",p,How is OCD treated virtually? ,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,68,4
1628,"To treat OCD, we use exposure and response prevention (ERP) therapy, where we purposely expose people to their obsessions and teach them to live with them without doing compulsions to neutralize them. The therapy can be difficult, but is life-changing for people who do it. ",p,How is OCD treated virtually? ,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,45,3
1629,"Let’s say a person with OCD has a fear of leaving their stove on. They may continuously check their stove throughout the day to feel assured that it is off. This may take up a significant amount of time in their day, and the doubt and resulting distress may never fully dissipate when OCD is left untreated. ",p,How is OCD treated virtually? ,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,57,4
1630,"ERP would allow them to begin to face their fears. However, a live, virtual ERP session can make the treatment even more powerful in situations like this, as it allows me to work with them directly in the environment triggering their obsessions: their home kitchen. I can ask them to turn the stove on, then turn it off, and then walk away from it without checking it again for the rest of the session. That allows me to help them address their specific fears and concerns during the session, and I can teach them to live with the discomfort and doubt instead of going back, again and again, to see if the stove is on or off. For homework, I would instruct the member to continue to stay away from checking the stove and only go to use it when it was needed, not when OCD wanted it to be checked. They could begin working on the assignment right away. ",p,How is OCD treated virtually? ,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,160,7
1631,"Being in a person’s environment, instead of having them come into mine, has allowed them to face so many more of their fears than they ever could in my office. While I could do ERP in my office with people, it was never as good as I have experienced when people are doing ERP with their fears and obsessions in their own environment. ",p,How is OCD treated virtually? ,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,63,3
1632,Working in a member’s environment might lead to stronger outcomes and better care in some cases,h2,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,16,1
1633,"Due to virtual therapy, sessions can be done in your own home, office, or even out in your community—wherever your fears or obsessions are most likely to be triggered. Not only does this open up the option of getting the right care for more people, but doing treatment in your own environment with a therapist allows for the best coaching experience possible, especially for people with OCD.",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,67,3
1634,"Our therapists at NOCD have also found that working with members in their own environments can sometimes help members make more significant progress. They offer valuable insight into how virtual OCD therapy has strengthened the care they can provide as clinicians, and how it can lead to better results for their members:",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,52,2
1635,"Shauna Pichette, LPC, NCC",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,4,1
1636,"“As a clinician at NOCD, it has been a great asset to be able to conduct ERP in the member’s setting. Rather than being in an office where clinicians need to find ways to creatively replicate triggers, virtual sessions allow the member to go directly to their trigger to complete exposure work. Members are then able to expose themselves to the triggers that are causing impairment in their day-to-day functioning. They can then increase their confidence in being able to approach these triggers on a daily basis, and continue with the homework practice from that setting. ",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,96,5
1637,"In addition, members are able to enter a variety of public spaces to conduct the exposure work as needed, rather than relying on imaginal approaches that may need to be used when the trigger cannot be replicated in an office.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,40,2
1638,"Taylor Newendorp, MA, LCPC",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,4,1
1639,"“Simply put, teletherapy allows people to receive effective treatment in real-life situations that cannot be replicated through traditional in-person therapy, whether in an outpatient office or any other clinical setting. Having an ERP specialist available through teletherapy provides an added layer of support and direction that gives the member the distinct advantage of proving to themselves that they can learn how to resist their compulsive urges, tolerate their discomfort, and successfully manage their OCD symptoms in any real-life environment at any time, regardless of the circumstances. As a result, I have found that many individuals with OCD who participate in ERP via teletherapy tend to report progress in treatment much more quickly than they might have otherwise.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,117,4
1640,"Caryn Gill, LPC",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,3,1
1641,"“Being in the person’s home makes treatment more fruitful. When I worked at an in-person clinic, people would have to bring their belongings from home to do exposures, or would need to do most exposures off-site without their therapist. I feel that working with someone in the place where OCD is most likely to ‘reside’ makes the treatment more potent.",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,60,4
1642,"Overall, providing teletherapy has been really rewarding and makes me think of how much more accessible treatment is for our members. I’ve worked with people who were 3 hours away from the nearest OCD specialist’s office, and are now able to meet with someone right in their home.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,48,3
1643,"Tracie Zinman-Ibrahim, LMFT, CST",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,4,1
1644,"“I have been doing telehealth counseling for the past 8 years and found it to have benefits over in-person counseling on multiple levels. Telehealth allows a therapist and their member to take therapy outside of the traditional office setting, opening up a wide array of opportunities for treating OCD in the member’s environment. Overall, I have had greater success in building exposures we can do together that are highly effective and motivating to complete.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,74,4
1645,"Nicholas Farrell, Ph. D.",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,4,3
1646,"“Having done ERP therapy predominantly in person for over a decade, I was admittedly skeptical about whether doing ERP virtually would be as good as the ‘real’ thing. But having now seen how well ERP works virtually over the last year, I can safely say it is truly as good as ERP in-person. In fact, there might even be a few advantages. ",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,62,4
1647,"Doing ERP virtually allows the member and therapist to ‘take ERP where it needs to go.’ I have seen personally that doing ERP sessions via telehealth allows my members to accomplish tasks that previously would have been impossible in a traditional in-person format. And, because OCD so often involves the people that are close to the afflicted person, doing ERP virtually allows us to include these people in our sessions in a very meaningful way, which may not always happen in an office setting.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,84,4
1648,"Mia Nunez, Ph.D.",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,3,3
1649,"“Teletherapy allows therapists to deliver the best possible care. An online platform allows for people across the globe to receive life-changing treatment, even in areas where there is little or no ERP specialist availability. And people with severe OCD can access treatment even if they are struggling with symptoms that cause them to be homebound or have difficulty arriving at in-person appointments on time. ",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,64,4
1650,"NOCD, in particular, gives members a direct line to their therapists—between sessions, therapists can update ERP assignments, share resources and materials for exposures, and provide daily messaging support.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,28,2
1651,"Kellie Kintz, LCSW, ICSW, LICSW",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,5,1
1652,"“When I first began working with a young member whom I’ll call Joey, his mother lamented the ‘8 years of chaos in our house and in Joey’s life due to OCD.’ But both parents admitted that work schedules, after-school events, long commutes, and sheer exhaustion prevented them from seeking in-person help for him for years. Teletherapy provided them with an opportunity to get help not only for Joey, but for their entire family. The acceleration in rapport building, relationship building, and quality-of-life assessment that telehealth offers contributed to greater awareness than an in-office visit ever could, which helped me to better understand their needs.",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,104,5
1653,"Fast forward to today: both Joey and his family members participate in treatment via telehealth, as they acknowledge that they each play a role in Joey’s journey. They feel a sense of comfort sharing their deepest fears while knowing that each of their family members is included and feels seen, heard, and validated. ",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,53,3
1654,"Through NOCD, Joey and his family members have changed the trajectory of their lives, all while sitting at a small wooden table from the comfort of their own home. I humbly share this as an example of the immeasurable impact of telehealth.”",p,Working in a member’s environment might lead to stronger outcomes and better care in some cases,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,42,3
1655,How to begin virtual OCD treatment,h2,How to begin virtual OCD treatment,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,6,1
1656,"The amazing gift of technology has allowed people to have access to specialists no matter where they live. As long as there is an internet connection, there is an opportunity to speak to a specialist who can help someone get through their most difficult times. ",p,How to begin virtual OCD treatment,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,45,3
1657,"If you or someone you know is dealing with OCD, NOCD can help. Through NOCD, anyone can access convenient, effective, and affordable treatment for OCD virtually, both inside and outside the U.S. Our therapy is 100% online, and all NOCD therapists are licensed and specialty-trained to treat OCD using ERP therapy through live face-to-face video sessions. We also accept many insurance plans to help make treatment more affordable.",p,How to begin virtual OCD treatment,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,68,6
1658,"To learn more about working with a licensed, specialty-trained NOCD therapist, book a free 15-minute call with our team today.",p,How to begin virtual OCD treatment,/blog/why-virtual-therapy-can-be-as-effective-as-or-even-more-effective-than-in-person-treatment-for-ocd,20,2
1659,Dealing with Grief When You Have OCD,h1,title,/blog/dealing-with-grief-when-you-have-ocd,7,1
1660,"There are no words that can fully convey the depth of grief and loss. Each experience is unique and personal to the person experiencing it. It doesn’t matter who or what you have lost; you are often broken, left confused, and hurting. In its wake, death often leaves unanswered questions, heartache, pain, and uncertainty. This is all true whether you have OCD or not. ",p,,/blog/dealing-with-grief-when-you-have-ocd,64,6
1661,"In the wake of the pandemic and the cycles of nationwide or global tragedies that can sometimes inundate our worlds, many other people have been left with a profound sense of ambiguous grief, too. For those of us with OCD, the condition becomes strongest in these periods of stress. ",p,,/blog/dealing-with-grief-when-you-have-ocd,49,3
1662,"OCD wants more than anything to have certainty, to explain the way things are, and to be in control. Death is none of these things. Death doesn’t wait until someone is ready. It doesn’t explain its reasoning. It doesn’t ask permission or give up its control. Its power is in the terror it incites and in the unknowns it produces. ",p,,/blog/dealing-with-grief-when-you-have-ocd,60,7
1663,A bit about my experience with grief and OCD,h2,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,9,1
1664,"My reason for writing this particular article at this particular time in my life is quite personal. I share it, like I do other personal stories, with the intent that there may be someone out there who needs to hear it. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,41,3
1665,"Earlier this year, my mother passed away. She has always been my best friend and my biggest supporter, for all things OCD and otherwise. Every single day I miss her. I miss her more than any words could ever express. Everything reminds me of her. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,45,6
1666,"When I was a child, my first signs of possible OCD were that I was always so anxious to be away from my mom. Some of my first fears were of losing her. I feared she could get into an accident, so I had several rituals I would do daily to “keep her safe.” I didn’t know at the time that this was OCD. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,64,5
1667,"I am not sure why OCD chooses certain things or people to attach itself to, but it tends to go after things we cherish and value most. My mom certainly fits in that category. Since I was a child (I am in my 40s now), my fear of losing her has been constant. The idea of going through life without her was unbearable. The truth is, I never thought I would survive it. Even though I am fully grown with my own family, I still felt that if she died, I would be all alone. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,95,7
1668,"Even after all of the therapeutic work I have done for over 20 years, both as a patient and as a provider, this fear lingered. About 6 years ago, my step-dad whom I loved dearly died of Alzheimers, and my mom came to live with me. She had been diagnosed with Parkinsons and had several health issues. She had been unhealthy and it was really just a matter of time before it all caught up to her. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,77,5
1669,"Even when you know something is coming, it is hard to prepare for it. I’m not sure it’s possible.",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,19,3
1670,"I include all of this to say that my biggest fear, the one that OCD latched on to most, was losing my mom—and it happened. And I am still here. I keep going. Day by day, I live my life. Life doesn’t stop, even if it feels like your world does. Each day has its struggles and its joys. I don’t know if being without my mom will ever get better or will feel “normal.” What I do know is that I am going on in spite of my worst fear happening. That is what having OCD and doing exposure and response prevention (ERP) therapy has taught me: that I can keep going on. Even if I’m afraid, even if I’m uncomfortable, even if it feels like everything is crashing down. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,131,11
1671,"Without my treatment experience, I know this pain would be so much more difficult. But with the knowledge I built through ERP, I know that even if I am afraid or feel devastated, I am able to keep going. There is no way to get past these struggles but to go through them. In ERP, I learned not to avoid difficult feelings. It’s what I choose to do with them that matters. ",p,A bit about my experience with grief and OCD,/blog/dealing-with-grief-when-you-have-ocd,72,6
1672,"OCD demands certainty, even in grief",h2,"OCD demands certainty, even in grief",/blog/dealing-with-grief-when-you-have-ocd,6,1
1673,"Death can cause countless what ifs, regrets, unfulfilled hopes, and unknowns. It’s no wonder that OCD latches onto this. OCD wants control. OCD wants certainty. OCD wants answers and will stop at nothing to get them. That is why compulsions occur: they are an attempt at gaining some kind of control or peace in a stressful situation. OCD wants you to believe that if you “just do this one thing” or “solve this one question,” all of the discomfort and anxiety will dissipate. ",p,"OCD demands certainty, even in grief",/blog/dealing-with-grief-when-you-have-ocd,83,8
1674,"That’s a lie. It may work for a moment, or maybe the fears will seem to go away for a while. But they always return, demanding certainty. Eventually, the compulsions aren’t enough, making OCD even worse.",p,"OCD demands certainty, even in grief",/blog/dealing-with-grief-when-you-have-ocd,36,5
1675,"In your life, you will encounter grief and loss. You probably have already. We all have in some way, with the nationwide and worldwide events happening. Someone close to you will pass away. You can’t predict how it might affect you, but grief can be life-altering. One minute you are going about your life, and the next minute everything changes. Grief can sneak up suddenly, or it can strike even when you think you’re prepared. You can never know for certain. ",p,"OCD demands certainty, even in grief",/blog/dealing-with-grief-when-you-have-ocd,81,9
1676,Grief can intensify OCD,h2,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,4,1
1677,"Regardless of how or to whom it happens, grieving death can affect people with OCD differently. Depending on the theme of intrusive thoughts a person has, they may feel guilt or shame, and OCD may even look for a way to blame them for their loss. OCD can be cruel that way. ",p,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,52,4
1678,"OCD is constantly looking for a problem to solve, like a puzzle piece that is always missing. It demands certainty to complete the puzzle. But the certainty that OCD demands does not exist. It will always demand more and more, never satisfied. ",p,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,42,5
1679,"For people with OCD, everything that happens in their life can become prey to the disorder. For example, if someone close has passed away, OCD may whisper in your ear, “you were mean to that person last time you saw them, and now they died thinking you hate them.” Or, “you could have done something to help them.” It may even say things like “you should’ve prayed more” or “you secretly wanted this to happen.” These are just a few of the ways people have described OCD rearing its ugly head following the death of someone they cared about. ",p,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,99,6
1680,"OCD is a constant accuser: always there to try and point out anything that possibly could have been bad that you have said or done. It brings with it immense guilt and shame and a sense of urgency to try and prove it wrong, only to become exhausted with fruitless attempts.",p,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,51,3
1681,"It is important to recognize that no matter what topic or theme OCD takes on, it always works the same. It wants you to think that you did something wrong, that you are flawed, that you are responsible for everything, that you can’t trust your own experiences. It causes doubt at a deep level, causing intense urgency and anxiety. No matter what it attaches itself to, its goal is always the same: to make you doubt the very core of who you are.  ",p,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,83,5
1682,"People with OCD not only have to deal with the pain and sorrow of loss, but also the intrusive ideas and irrational thoughts surrounding their own grief. Often this leaves them feeling isolated, alone in their experience. How do you tell someone the nonsensical thoughts that you are having, especially if they’re grieving, too? ",p,Grief can intensify OCD,/blog/dealing-with-grief-when-you-have-ocd,54,3
1683,The path to long-term management of OCD,h2,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,7,1
1684,"We live in an uncertain world, and life is unpredictable. Life is a story that each one of us has a part in writing, but we don’t have full control over it. It is full of twists and turns that we can’t account for. The idea of certainty or control is a lie that OCD tries to get you to believe.",p,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,61,5
1685,"OCD will lie, cheat, and try to get you to avoid it, instead of confronting it. Like death and grief, it can leave you feeling hopeless. But there is hope. OCD is highly treatable, and you can recover from the symptoms and manage it. OCD is not where your story ends. ",p,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,51,6
1686,"A specialist who is trained in OCD and ERP can not only help you address the intrusive thoughts, feelings, images, and compulsions surrounding death, but also help you cope with the very real grief and loss you are experiencing. They can help you to sit with uncertainty and lack of control, giving you the freedom you need to experience long term relief from OCD.",p,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,64,3
1687,"ERP therapy works by exposing you to the very fears brought about by OCD, then teaching you to resist doing compulsions in response. It teaches that you must face uncertainty, look it in the eye, and keep moving forward. You can’t avoid it or fix it: you just learn to let it pass. ",p,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,53,4
1688,"If you’re struggling with OCD, please know that there’s hope. I’ve been where you have been, and I know from my own experience that you can get better. ",p,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,28,3
1689,"Our team at NOCD is here for you, and we can help you on your path to recovery. Our licensed therapists deeply understand OCD and are specialty-trained in treating OCD with exposure and response prevention (ERP) therapy. We work side-by-side with the OCD experts and researchers who designed some of the world’s top OCD treatment programs – and that means the best care for our members. You can book a free 15-minute call with our team to get matched with one and get started with OCD treatment.",p,The path to long-term management of OCD,/blog/dealing-with-grief-when-you-have-ocd,87,5
1690,The NOCD Way: Offering An Elite Treatment Experience Starts With Over-Investing In Our Therapists,h1,title,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,14,1
1691,"At NOCD, we take pride in the clinical experience we offer our members. On average, people with obsessive-compulsive disorder (OCD) who enroll in NOCD Therapy not only experience significant reductions in OCD severity, going from high-risk to a low-risk levels, but they also experience substantial reductions in the severity of comorbidities—conditions that often result from OCD going untreated. These outcomes are proven across all OCD subtypes. Further, our clinical outcomes were recently published in a leading peer-reviewed journal, JMIR, in the largest OCD treatment study ever recorded. ",p,,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,87,5
1692,"We have consistently been able to achieve such strong clinical results thanks to the incredible work of our licensed therapist network, as well as our team in support of them: clinical leaders, operational managers, software engineers, data scientists, designers, and strategists. There are currently hundreds of licensed therapists with specialty training in OCD and exposure and response prevention (ERP) across all 50 states in the NOCD network, and hundreds of other folks behind the scenes dedicated to not only ensuring that our therapists need to do as little administrative work as possible, but also to managing future projects dedicated to continuously improving the NOCD member and therapist experience. ",p,,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,108,3
1693,"The end-to-end support our NOCD Therapists receive to make the NOCD member experience excellent is certainly unique from other behavioral health providers and virtual-first networks. As one of our vendors recently highlighted, “NOCD is more like a top Michelin-star restaurant that selects its chefs, has high expectations, and invests in them, as opposed to a fast-food company.”",p,,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,57,3
1694,"Here are the three main ways NOCD supports its therapists, after three years of scaling the NOCD network:",p,,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,18,1
1695,Comprehensive Training And Clinical Supervision,h2,Comprehensive Training And Clinical Supervision,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,5,1
1696,"Unlike other virtual behavioral health companies that allow any licensed provider to see patients, before any NOCD Therapist sees one of our members, they are required to go through comprehensive training in addition to them needing to be already licensed. Importantly, they are consistently supervised, including being observed by the clinical leadership team while delivering treatment, to ensure adherence to the training. There isn’t anywhere else in the world that pushes for the same level of clinical excellence as NOCD, which is one of the reasons why we’ve scaled to hundreds of thousands—and almost millions—of therapy sessions annually. ",p,Comprehensive Training And Clinical Supervision,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,98,4
1697,Here is more info on our training and supervision: ,p,Comprehensive Training And Clinical Supervision,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,9,1
1698,"Comprehensive Training: The training is added to an already existing license, like a fellowship or certification, and it includes a deep course on OCD, where every therapist is educated about the different subtypes of the condition, common comorbidities, evidence-based treatments for OCD, cultural competencies, and treating children, adolescents, and adults with ERP therapy. To ensure retention of the material, every therapist is required to take an exam upon completion of the course, which they must pass to join the NOCD network.",p,Comprehensive Training And Clinical Supervision,/blog/the-nocd-way-offering-an-elite-treatment-experience-starts-with-over-investing-in-our-therapists,81,3
